文件题目,发布机构,发布时间,索 引 号,关 键 字,主题分类,内容.txt
西安市工业和信息化委员会2017年度部门预算,工信委,2017-03-30 14:33, 013353737/2017-02355902,财政预决算,财政,2355902.txt
西安市工业和信息化委员会2015年度部门决算,工信委,2016-09-23 13:57, 013353737/2017-02166848,财政预决算,财政,2166848.txt
西安市工业和信息化委员会2016年度财政预算,工信委,2016-02-29 16:40, 013353737/2017-01989741,预算,财政,1989741.txt
西安市工业和信息化委员会2014年部门决算,工信委,2015-10-31 12:34, 013353737/2015-01852007,决算,财政,1852007.txt
西安市工业和信息化委员会2015年度财政预算,工信委,2015-02-27 15:02, 000000000/2015-01488726,预算,财政,1488726.txt
西安市工业和信息化委员会2017年度部门“三公”经费支出情况,工信委,2018-09-21 19:28, 013353737/2018-02964322,经费,财政,2964322.txt
西安市工业和信息化委员会2018年度部门“三公”经费预算情况,工信委,2018-02-28 14:43, 013353737/2018-02754103,预算,财政,2754103.txt
西安市工业和信息化委员会2016年度部门“三公”经费支出情况,工信委,2017-09-21 14:05, 013353737/2017-02577634,经费,财政,2577634.txt
西安市工业和信息化委员会2015年度部门“三公”经费支出情况,工信委,2016-09-23 14:15, 013353737/2016-02166851,经费,财政,2166851.txt
西安市工业和信息化委员会2014年部门“三公”经费支出情况,工信委,2015-10-31 13:04, 013353737/2015-01852017,经费,财政,1852017.txt
西安市工业和信息化委员会2015年“三公”经费预算,工信委,2015-02-27 15:30, 000000000/2015-01490972,经费,财政,1490972.txt
关于2016年四季度西安地区个人购买新能源汽车有关补贴资金的公示,工信委,2018-01-31 20:34, 013353737/2018-02735264,公示,其他,2735264.txt
关于2016年四季度西安地区单位购买新能源汽车有关补贴资金的公示,工信委,2018-01-31 20:19, 013353737/2018-02735255,公示,其他,2735255.txt
2017年西安市支持区县工业园区发展专项资金项目评审得分结果公布表,工信委,2017-04-27 17:45, 013353737/2017-02398284,资金,财政,2398284.txt
西安市工业发展专项资金管理办法,工信委,2010-04-05 16:50, 013353737/2013-00581259,资金,财政,发〔2010〕248号,0581259.txt
西安市人民政府关于进一步加强社会信用体系建设的意见,工信委,2016-06-30 20:31, 013353737/2018-02461533,信用体系,信用,2461533.txt
西安市人民政府办公厅关于印发西安市“十三五”工业发展规划的通知,工信委,2016-05-21 22:34, 013353737/2018-02058750,规划,国民经济发展规划、计划,2058750.txt
2016年全市工业和信息化工作要点,工信委,2016-03-31 12:41, 013353737/2016-02088415,规划,国民经济发展规划、计划,2088415.txt
中共西安市工业和信息化委员会机关委员会2016年党建工作要点,工信委,2016-03-31 12:38, 013353737/2016-02088412,规划,国民经济发展规划、计划,2088412.txt
市纪委派驻市工信委纪检组2016年工作要点,工信委,2016-03-02 12:37, 013353737/2016-02088409,纪检,监察,2088409.txt
西安市人民政府办公厅关于印发西安市贯彻中国制造2025实施意见的通知,工信委,2015-09-08 13:31, 013353737/2018-01816299,通知,文秘工作,1816299.txt
1-7月西安规模以上工业增长9.7%,工信委,2018-08-23 19:59, 013353737/2018-02945974,统计,统计,2945974.txt
2018年1-7月西安市规模以上工业增长9.7%,工信委,2018-08-21 10:57, 013353737/2018-02945965,统计,统计,2945965.txt
工业效益稳步提升 存在问题不容忽视,工信委,2018-08-14 14:56, 013353737/2018-02945958,统计,统计,2945958.txt
工业经济稳中有进 增长后劲有待增强,工信委,2018-08-02 15:30, 013353737/2018-02916922,统计,统计,2916922.txt
【解读】上半年西安市规模以上工业增长10.4%,工信委,2018-07-24 16:29, 013353737/2018-02916919,统计,统计,2916919.txt
2018年1-6月西安市规模以上工业增长10.4%,工信委,2018-07-24 16:28, 013353737/2018-02916905,统计,统计,2916905.txt
1-5月全市规上工业综合能耗增速回落,工信委,2018-07-03 15:27, 013353737/2018-02916893,统计,统计,2916893.txt
1-5月西安规模以上工业增长10.6%,工信委,2018-06-26 17:09, 013353737/2018-02881626,统计,统计,2881626.txt
2018年1-5月西安市规模以上工业增长10.6%,工信委,2018-06-22 17:08, 013353737/2018-02881623,统计,统计,2881623.txt
2018年1-4月西安市规模以上工业增长10.9%,工信委,2018-05-22 16:15, 013353737/2018-02881620,统计,统计,2881620.txt
2018年一季度西安市规模以上工业增长10.9%,工信委,2018-04-23 15:05, 013353737/2018-02881613,统计,统计,2881613.txt
2018年一季度西安市规模以上工业开局良好,工信委,2018-04-20 17:03, 013353737/2018-02881610,统计,统计,2881610.txt
1-2月全市规模以上工业起步较好,工信委,2018-04-02 18:05, 013353737/2018-02805388,统计,统计,2805388.txt
2018年1-2月西安市规模以上工业增长11.0%,工信委,2018-03-21 18:03, 013353737/2018-02805385,统计,统计,2805385.txt
【数据发布】2017年全市规模以上工业增长5.8%,计局综合处,2018-02-14 16:02, 013353737/2018-02748168,统计,统计,2748168.txt
【解读】2017年西安规模以上工业平稳增长,计局综合处,2018-02-14 16:00, 013353737/2018-02748165,统计,统计,2748165.txt
2017年1-11月西安市规模以上工业增长5.4%,计局综合处,2017-12-29 16:06, 013353737/2018-02748190,统计,统计,2748190.txt
2017年1-11月规模以上工业平稳增长,计局综合处,2017-12-29 16:03, 013353737/2018-02748182,统计,统计,2748182.txt
2017年1-10月西安市规模以上工业增长4.9%,计局综合处,2017-11-24 16:07, 013353737/2018-02748197,统计,统计,2748197.txt
2017年1-9月西安市规模以上工业增长5.0%,计局综合处,2017-10-31 16:10, 013353737/2018-02748205,统计,统计,2748205.txt
2017年1-8月西安市规模以上工业增长4.5%,计局综合处,2017-09-21 13:19, 013353737/2018-02578818,统计,统计,2578818.txt
2017年1-7月西安市规模以上工业增长5.0%,计局综合处,2017-08-28 15:20, 013353737/2018-02542140,统计,统计,2542140.txt
2017年1-6月西安市规模以上工业增长5.5%,计局综合处,2017-07-21 13:16, 013353737/2018-02504454,统计,统计,2504454.txt
2017年1-5月全市规模以上工业小幅回落,工信委,2017-06-22 13:31, 013353737/2018-02457656,统计,统计,2457656.txt
2017年1-5月份西安市规模以上工业增长4.8%,工信委,2017-06-22 13:30, 013353737/2018-02457653,统计,统计,2457653.txt
1-4月西安市工业经济平稳增长,工信委,2017-05-31 21:11, 013353737/2018-02435491,统计,统计,2435491.txt
2017年1-4月西安市规模以上工业增长5.0%,工信委,2017-05-26 21:54, 013353737/2018-02432288,统计,统计,2432288.txt
2017年一季度西安市规模以上工业能耗增长3.9%,工信委,2017-04-27 22:05, 013353737/2018-02398380,统计,统计,2398380.txt
解读:一季度规模以上工业增加值增长6.0%,工信委,2017-04-27 22:03, 013353737/2018-02398376,统计,统计,2398376.txt
2017年1-3月西安市规模以上工业增长6.0%,工信委,2017-04-21 22:20, 013353737/2018-02385423,统计,统计,2385423.txt
1-2月西安规模以上工业增加值平稳增长,工信委,2017-03-31 14:19, 013353737/2018-02357564,统计,统计,2357564.txt
2017年1-2月西安市规模以上工业增长5.0%,工信委,2017-03-24 23:07, 013353737/2018-02350377,统计,统计,2350377.txt
西安市工业和信息化委员会关于确定我市第一批自动驾驶汽车测试道路的公告,工信委,2018-09-30 19:02, 013353737/2018-02972247,公告,文秘工作,2972247.txt
西安市工业和信息化委员会 西安市财政局 关于下达兑现2017年下半年工业加大投资和开拓市场奖励资金计划的通知,工信委,2018-09-27 23:31, 013353737/2018-02968671,通知,文秘工作,2968671.txt
西安市工业和信息化委员会 西安市财政局 关于印发2019年工业发展专项资金促进光伏产业持续健康发展项目申报指南的通知,工信委,2018-09-20 09:20, 013353737/2018-02961325,通知,文秘工作,2961325.txt
西安市工业和信息化委员会 西安市财政局关于做好军工单位民品研发生产企业发展奖励和民口企业申请军品资格认证奖励申请审核工作的通知,工信委,2018-09-14 17:51, 013353737/2018-02958777,通知,文秘工作,2958777.txt
西安市工业和信息化委员会 西安市财政局 关于印发军民融合补短板促发展 项目申报指南的通知,工信委,2018-09-14 17:41, 013353737/2018-02958750,通知,文秘工作,2958750.txt
西安市工业和信息化委员会关于征求干部作风问题的公告,工信委,2018-09-06 12:47, 013353737/2018-02949367,公告,文秘工作,2949367.txt
西安市工业和信息化委员会关于邀请会计师事务所对2016年以前省市级项目验收的通知,工信委,2018-08-22 15:50, 013353737/2018-02936346,通知,文秘工作,2936346.txt
西安市工业和信息化委员会关于选聘承担区块链产业发展规划编制单位的公告,工信委,2018-08-01 12:39, 013353737/2018-02915124,区块链、公告,其他,2915124.txt
西安市中小企业促进局关于组织中小企业参加第十五届中国国际中小企业博览会的通知,工信委,2018-07-25 17:58, 013353737/2018-02908832,通知,文秘工作,2908832.txt
​西安市工业和信息化委员会关于申报第四届陕西省工艺美术大师评选工作的补充说明,工信委,2018-07-24 19:42, 013353737/2018-02907407,说明,其他,2907407.txt
​西安市工业和信息化委员会关于填报2018年企业技术中心上半年快报简表的通知,工信委,2018-07-20 18:37, 013353737/2018-02904513,通知,文秘工作,2904513.txt
西安市工业和信息化委员会关于邀请会计师事务所对市2018年度园区（基地）标准化厂房出租补助审核的通知,工信委,2018-07-16 16:48, 013353737/2018-02899340,通知,文秘工作,2899340.txt
西安市工业和信息化委员会转发《陕西省工信厅关于开展2018年物联网集成创新与融合应用项目征集工作的通知》,工信委,2018-07-15 11:19, 013353737/2018-02898356,通知,文秘工作,2898356.txt
西安市工业和信息化委员会关于选聘承担军民融合课题调研单位的公告,工信委,2018-07-04 19:20, 013353737/2018-02889828,公告,文秘工作,2889828.txt
西安市工业和信息化委员会 西安市财政局 关于组织申报2018年陕西省技术创新示范企业的通知,工信委,2018-07-02 10:12, 013353737/2018-02887304,通知,文秘工作,2887304.txt
西安市工业和信息化委员会关于遴选会计师事务所参与西安市2018年（第13批）企业技术中心认定专项复核审计的通知,工信委,2018-06-29 15:06, 013353737/2018-02886058,通知,文秘工作,2886058.txt
西安市工业和信息化委员会 西安市财政局 关于申报2017年度西安市军工仪器设备共享补助奖励的通知,工信委,2018-06-29 14:43, 013353737/2018-02885956,通知,文秘工作,2885956.txt
